Key,File,Type,schinese
apartmentMailboxOpenBlue,blocks,Block,邮箱-打开
apartmentMailboxOpenGreen,blocks,Block,邮箱-打开
apartmentMailboxOpenGrey,blocks,Block,邮箱-打开
apartmentMailboxOpenRed,blocks,Block,邮箱-打开
apartmentMailboxOpenWhite,blocks,Block,邮箱-打开
apartmentMailboxOpenYellow,blocks,Block,邮箱-打开
apartmentSmallMailboxClosedBlue,blocks,Block,邮箱
apartmentSmallMailboxClosedGreen,blocks,Block,邮箱
apartmentSmallMailboxClosedGrey,blocks,Block,邮箱
apartmentSmallMailboxClosedRed,blocks,Block,邮箱
apartmentSmallMailboxClosedWhite,blocks,Block,邮箱
apartmentSmallMailboxClosedYellow,blocks,Block,邮箱
apartmentSmallMailboxOpenBlue,blocks,Block,邮箱，打开
apartmentSmallMailboxOpenGreen,blocks,Block,邮箱，打开
apartmentSmallMailboxOpenGrey,blocks,Block,邮箱，打开
apartmentSmallMailboxOpenRed,blocks,Block,邮箱，打开
apartmentSmallMailboxOpenWhite,blocks,Block,邮箱，打开
apartmentSmallMailboxOpenYellow,blocks,Block,邮箱，打开
arrowHelper,blocks,Block,绿色箭头助手
arrowHelperBlue,blocks,Block,蓝色箭头助手
arrowHelperOrange,blocks,Block,橙色箭头助手
arrowHelperPink,blocks,Block,粉色箭头助手
arrowHelperPurple,blocks,Block,紫色箭头助手
arrowSlit,blocks,Block,箭孔
awningBlock,blocks,Block,布篷块
awningCNRFull,blocks,Block,布篷 拐角 全
awningCNRInside,blocks,Block,布篷 拐角 内
awningCNRRound,blocks,Block,布篷 拐角 圆
awningCNRRoundTop,blocks,Block,布篷 拐角 圆 顶部
awningCornerLeftBlack,blocks,Block,黑色雨棚 拐角 左
awningCornerLeftBlue,blocks,Block,蓝色雨棚 拐角 左
awningCornerLeftBrown,blocks,Block,棕色雨棚 拐角 左
awningCornerLeftGreen,blocks,Block,绿色雨棚 拐角 左
awningCornerLeftGrey,blocks,Block,灰色雨棚 拐角 左
awningCornerLeftOrange,blocks,Block,橙色雨棚 拐角 左
awningCornerLeftPink,blocks,Block,粉色雨棚 拐角 左
awningCornerLeftPurple,blocks,Block,紫色雨棚 拐角 左
awningCornerLeftRed,blocks,Block,红色雨棚 拐角 左
awningCornerLeftWhite,blocks,Block,白色雨棚 拐角 左
awningCornerLeftYellow,blocks,Block,黄色雨棚 拐角 左
awningCornerRightBlack,blocks,Block,黑色雨棚 拐角 右
awningCornerRightBlue,blocks,Block,蓝色雨棚 拐角 右
awningCornerRightBrown,blocks,Block,棕色雨棚 拐角 右
awningCornerRightGreen,blocks,Block,绿色雨棚 拐角 右
awningCornerRightGrey,blocks,Block,灰色雨棚 拐角 右
awningCornerRightOrange,blocks,Block,橙色雨棚 拐角 右
awningCornerRightPink,blocks,Block,粉色雨棚 拐角 右
awningCornerRightPurple,blocks,Block,紫色雨棚 拐角 右
awningCornerRightRed,blocks,Block,红色雨棚 拐角 右
awningCornerRightWhite,blocks,Block,白色雨棚 拐角 右
awningCornerRightYellow,blocks,Block,黄色雨棚 拐角 右
awningCTRSheet,blocks,Block,布篷片 居中
awningFullBlack,blocks,Block,黑色雨棚 完整
awningFullBlue,blocks,Block,蓝色雨棚 完整
awningFullBrown,blocks,Block,棕色雨棚 完整
awningFullGreen,blocks,Block,绿色雨棚 完整
awningFullGrey,blocks,Block,灰色雨棚 完整
awningFullOrange,blocks,Block,橙色雨棚 完整
awningFullPink,blocks,Block,粉色雨棚 完整
awningFullPurple,blocks,Block,紫色雨棚 完整
awningFullRed,blocks,Block,红色雨棚 完整
awningFullWhite,blocks,Block,白色雨棚 完整
awningFullYellow,blocks,Block,黄色雨棚 完整
awningGable,blocks,Block,布篷 山墙
awningGroupDesc,blocks,Block,布料形状主要用于装饰。\n也可以减少跌落伤害。
awningPyramid,blocks,Block,布篷 尖顶
awningRamp,blocks,Block,布篷 坡道
awningRampSheet,blocks,Block,布篷 坡道 片
awningRampSheetCNRInside,blocks,Block,布篷 坡道 片 内 拐角
awningRampSheetEdgeLeft,blocks,Block,布篷 坡道 片 边缘 左
awningRampSheetEdgeRight,blocks,Block,布篷 坡道 片 边缘 右
awningSheet,blocks,Block,布篷片
awningStraightBlack,blocks,Block,黑色雨棚 直
awningStraightBlue,blocks,Block,蓝色雨棚 直
awningStraightBrown,blocks,Block,棕色雨棚 直
awningStraightGreen,blocks,Block,绿色雨棚 直
awningStraightGrey,blocks,Block,灰色雨棚 直
awningStraightOrange,blocks,Block,橙色雨棚 直
awningStraightPink,blocks,Block,粉色雨棚 直
awningStraightPurple,blocks,Block,紫色雨棚 直
awningStraightRed,blocks,Block,红色雨棚 直
awningStraightWhite,blocks,Block,白色雨棚 直
awningStraightYellow,blocks,Block,黄色雨棚 直
backhoeBlue,blocks,Block,蓝色反铲挖土机
backhoeGreen,blocks,Block,绿色反铲挖土机
backhoeGrey,blocks,Block,灰色反铲挖土机
backhoeOrange,blocks,Block,橙色反铲挖土机
backhoeRed,blocks,Block,红色反铲挖土机
backhoeWhite,blocks,Block,白色反铲挖土机
backhoeYellow,blocks,Block,黄色反铲挖土机
banditPlatform2x2A,blocks,Block,强盗平台 2x2 A
banditPlatform3x2A,blocks,Block,强盗平台 3x2 A
banditPlatform3x3A,blocks,Block,强盗平台 3x3 A
banditPlatform3x3B,blocks,Block,强盗平台 3x3 B
banditPlatform3x3BrokenA,blocks,Block,强盗平台 3x3 破损 A
banditPlatform3x3BrokenB,blocks,Block,强盗平台 3x3 破损 B
banditPlatform3x3BrokenC,blocks,Block,强盗平台 3x3 破损 C
banditPlatformSheet3x2A,blocks,Block,强盗平台片 3x2 A
banditPlatformSheet3x3A,blocks,Block,强盗平台片 3x3 A
banditPlatformSheet3x3B,blocks,Block,强盗平台片 3x3 B
banditRamp2x2A,blocks,Block,强盗坡道 2x2 A
banditRamp3x2A,blocks,Block,强盗坡道 3x2 A
banditRamp3x3A,blocks,Block,强盗坡道 3x3 A
banditRampSheet2x2A,blocks,Block,强盗坡道片 2x2 A
banditRampSheet3x2A,blocks,Block,强盗坡道片 3x2 A
banditRampSheet3x3A,blocks,Block,强盗坡道片 3x3 A
banditSupport1m,blocks,Block,强盗支撑 1米
banditSupport2m,blocks,Block,强盗支撑 2米
banditSupport2x2A,blocks,Block,强盗支撑 2x2 A
banditSupport3m,blocks,Block,强盗支撑 3米
banditSupport3x1A,blocks,Block,强盗支撑 3x1 A
banditSupport3x1B,blocks,Block,强盗支撑 3x1 B
banditSupport3x2A,blocks,Block,强盗支撑 3x2 A
banditSupport3x3A,blocks,Block,强盗支撑 3x3 A
banditSupportBroken1m,blocks,Block,强盗支撑 破损 1米
banditSupportBroken2m,blocks,Block,强盗支撑 破损 2米
banditSupportBroken3m,blocks,Block,强盗支撑 破损 3米
banditWallCorrugated1x2.5,blocks,Block,强盗墙，瓦楞，1x2.5
banditWallCorrugated1x3,blocks,Block,强盗墙，瓦楞，1x3
banditWallCorrugated1x4,blocks,Block,强盗墙，瓦楞，1x4
banditWallCorrugated2x3,blocks,Block,强盗墙，瓦楞，2x3
banditWallCorrugatedDiagonal1x1,blocks,Block,强盗墙，瓦楞，对角线，1x1
banditWallCorrugatedDiagonal1x2,blocks,Block,强盗墙，瓦楞，对角线，1x2
banditWallCorrugatedDiagonal1x3,blocks,Block,强盗墙，瓦楞，对角线，1x3
banditWallCorrugatedDiagonal2x3,blocks,Block,强盗墙，瓦楞，对角线，2x3
banditWallCorrugatedDiagonal3x1,blocks,Block,强盗墙，瓦楞，对角线，3x1
banditWallRibbed2x1Blue,blocks,Block,蓝色强盗墙，棱纹，2x1
banditWallRibbed2x1Brown,blocks,Block,棕色强盗墙，棱纹，2x1
banditWallRibbed2x1Green,blocks,Block,绿色强盗墙，棱纹，2x1
banditWallRibbed2x1Grey,blocks,Block,灰色强盗墙，棱纹，2x1
banditWallRibbed2x1Orange,blocks,Block,橙色强盗墙，棱纹，2x1
banditWallRibbed2x1Red,blocks,Block,红色强盗墙，棱纹，2x1
banditWallRibbed2x1White,blocks,Block,白色强盗墙，棱纹，2x1
banditWallRibbed2x1Yellow,blocks,Block,黄色强盗墙，棱纹，2x1
banditWallRibbed3x2Blue,blocks,Block,蓝色强盗墙，棱纹，3x2
banditWallRibbed3x2Brown,blocks,Block,棕色强盗墙，棱纹，3x2
banditWallRibbed3x2Green,blocks,Block,绿色强盗墙，棱纹，3x2
banditWallRibbed3x2Grey,blocks,Block,灰色强盗墙，棱纹，3x2
banditWallRibbed3x2Orange,blocks,Block,橙色强盗墙，棱纹，3x2
banditWallRibbed3x2Red,blocks,Block,红色强盗墙，棱纹，3x2
banditWallRibbed3x2White,blocks,Block,白色强盗墙，棱纹，3x2
banditWallRibbed3x2Yellow,blocks,Block,黄色强盗墙，棱纹，3x2
banditWallRibbedDiagonal2x1Blue,blocks,Block,蓝色强盗墙，棱纹，对角线，2x1
banditWallRibbedDiagonal2x1Brown,blocks,Block,棕色强盗墙，棱纹，对角线，2x1
banditWallRibbedDiagonal2x1Green,blocks,Block,绿色强盗墙，棱纹，对角线，2x1
banditWallRibbedDiagonal2x1Grey,blocks,Block,灰色强盗墙，棱纹，对角线，2x1
banditWallRibbedDiagonal2x1Orange,blocks,Block,橙色强盗墙，棱纹，对角线，2x1
banditWallRibbedDiagonal2x1Red,blocks,Block,红色强盗墙，棱纹，对角线，2x1
banditWallRibbedDiagonal2x1White,blocks,Block,白色强盗墙，棱纹，对角线，2x1
banditWallRibbedDiagonal2x1Yellow,blocks,Block,黄色强盗墙，棱纹，对角线，2x1
banditWallSiding1x4Blue,blocks,Block,蓝色强盗墙，外墙板，1x4
banditWallSiding1x4Brown,blocks,Block,棕色强盗墙，外墙板，1x4
banditWallSiding1x4Green,blocks,Block,绿色强盗墙，外墙板，1x4
banditWallSiding1x4Grey,blocks,Block,灰色强盗墙，外墙板，1x4
banditWallSiding1x4Orange,blocks,Block,橙色强盗墙，外墙板，1x4
banditWallSiding1x4Red,blocks,Block,红色强盗墙，外墙板，1x4
banditWallSiding1x4White,blocks,Block,白色强盗墙，外墙板，1x4
banditWallSiding1x4Yellow,blocks,Block,黄色强盗墙，外墙板，1x4
banditWallSiding2x2Blue,blocks,Block,蓝色强盗墙，外墙板，2x2
banditWallSiding2x2Brown,blocks,Block,棕色强盗墙，外墙板，2x2
banditWallSiding2x2Green,blocks,Block,绿色强盗墙，外墙板，2x2
banditWallSiding2x2Grey,blocks,Block,灰色强盗墙，外墙板，2x2
banditWallSiding2x2Orange,blocks,Block,橙色强盗墙，外墙板，2x2
banditWallSiding2x2Red,blocks,Block,红色强盗墙，外墙板，2x2
banditWallSiding2x2White,blocks,Block,白色强盗墙，外墙板，2x2
banditWallSiding2x2Yellow,blocks,Block,黄色强盗墙，外墙板，2x2
banditWallSiding3x3Blue,blocks,Block,蓝色强盗墙，外墙板，3x3
banditWallSiding3x3Brown,blocks,Block,棕色强盗墙，外墙板，3x3
banditWallSiding3x3Green,blocks,Block,绿色强盗墙，外墙板，3x3
banditWallSiding3x3Grey,blocks,Block,灰色强盗墙，外墙板，3x3
banditWallSiding3x3Orange,blocks,Block,橙色强盗墙，外墙板，3x3
banditWallSiding3x3Red,blocks,Block,红色强盗墙，外墙板，3x3
banditWallSiding3x3White,blocks,Block,白色强盗墙，外墙板，3x3
banditWallSiding3x3Yellow,blocks,Block,黄色强盗墙，外墙板，3x3
banditWallSidingDiagonal2x2Blue,blocks,Block,蓝色强盗墙，外墙板，对角线，2x2
banditWallSidingDiagonal2x2Brown,blocks,Block,棕色强盗墙，外墙板，对角线，2x2
banditWallSidingDiagonal2x2Green,blocks,Block,绿色强盗墙，外墙板，对角线，2x2
banditWallSidingDiagonal2x2Grey,blocks,Block,灰色强盗墙，外墙板，对角线，2x2
banditWallSidingDiagonal2x2Orange,blocks,Block,橙色强盗墙，外墙板，对角线，2x2
banditWallSidingDiagonal2x2Red,blocks,Block,红色强盗墙，外墙板，对角线，2x2
banditWallSidingDiagonal2x2White,blocks,Block,白色强盗墙，外墙板，对角线，2x2
banditWallSidingDiagonal2x2Yellow,blocks,Block,黄色强盗墙，外墙板，对角线，2x2
banditWallStreetsign3x2,blocks,Block,强盗墙，路牌，3x2
barracksChair,blocks,Block,军营椅
barrierConcrete,blocks,Block,混凝土屏障
barrierMilitary,blocks,Block,军用屏障
barrierPlasticBlue,blocks,Block,蓝色塑料屏障
barrierPlasticOrange,blocks,Block,橙色塑料屏障
barrierPlasticRed,blocks,Block,红色塑料屏障
barrierPlasticWhite,blocks,Block,白色塑料屏障
barrierPlasticYellow,blocks,Block,黄色塑料屏障
barStool,blocks,Block,酒吧凳 红色
barStoolBlack,blocks,Block,酒吧凳 黑色
barStoolBlue,blocks,Block,酒吧凳 蓝色
barStoolBrown,blocks,Block,酒吧凳 棕色
barStoolGreen,blocks,Block,酒吧凳 绿色
barStoolGrey,blocks,Block,酒吧凳 灰色
barStoolPink,blocks,Block,酒吧凳 粉色
barStoolWhite,blocks,Block,酒吧凳 白色
bathroomStallCTRBeam,blocks,Block,卫生间隔间 墙面 顶部 支撑
bathroomStallDoor,blocks,Block,卫生间隔间 门
bathroomStallSCTRBeam,blocks,Block,卫生间隔间 门 顶部 支撑
bathroomStallSupport,blocks,Block,卫生间隔间 支撑
bathroomStallSupportLeft,blocks,Block,卫生间隔间 支撑 左侧
bathroomStallSupportRight,blocks,Block,卫生间隔间 支撑 右侧
bathroomStallWall,blocks,Block,卫生间隔间 墙面
bed01,blocks,Block,旧床
bed01Frame,blocks,Block,铁床架
bed02,blocks,Block,黑色特大号床
bed02ArmyGreen,blocks,Block,军绿色特大号床
bed02Blue,blocks,Block,蓝色特大号床
bed02Brown,blocks,Block,棕色特大号床
bed02Green,blocks,Block,绿色特大号床
bed02Grey,blocks,Block,灰色特大号床
bed02Orange,blocks,Block,橙色特大号床
bed02Pink,blocks,Block,粉色特大号床
bed02Purple,blocks,Block,紫色特大号床
bed02RandomHelper,blocks,Block,= 特大号床 = 随机助手
bed02RandomHelperDesc,blocks,Block,将随机生成标题颜色的特大号床。
bed02Red,blocks,Block,红色特大号床
bed02White,blocks,Block,白色特大号床
bed02Yellow,blocks,Block,黄色特大号床
bedGroupDesc,blocks,Block,在地面上放置一张床，你死亡后即可在该处复活。放置一张新床或搬起上一次放置的床，将永久清空之前所有的复活点。床会显示在你的地图和指南针上，且丧尸无法在其附近刷新。
bedMadeNoFrameArmyGreen,blocks,Block,已整理的无框军绿色床
bedMadeNoFrameBlack,blocks,Block,已整理的无框黑色床
bedMadeNoFrameBlue,blocks,Block,已整理的无框蓝色床
bedMadeNoFrameBrown,blocks,Block,已整理的无框棕色床
bedMadeNoFrameGreen,blocks,Block,已整理的无框绿色床
bedMadeNoFrameGrey,blocks,Block,已整理的无框灰色床
bedMadeNoFrameOrange,blocks,Block,已整理的无框橙色床
bedMadeNoFramePink,blocks,Block,已整理的无框粉色床
bedMadeNoFramePurple,blocks,Block,已整理的无框紫色床
bedMadeNoFrameRandomHelper,blocks,Block,= 所有已整理无框床 = 随机助手
bedMadeNoFrameRandomHelperDesc,blocks,Block,将随机生成一个任意颜色的已整理无框床。
bedMadeNoFrameRed,blocks,Block,已整理的无框红色床
